mix_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
0.0001,0,0.9505860721673178,0.9377195450484874,0.13790698133959542,566.938864628821,0.324601399974199,2.2918266052066762,0.029824393004045435,0.00017500000000000003,170.4251028802596,0.005867680189711244
0.0001,1,0.9531508497518424,0.9396302425647448,0.13305829279227824,556.512107083772,0.22724434643168934,1.9185968038633952,0.03083763315242684,0.00017500000000000003,176.21504658529622,0.00567488429267562
0.0001,2,0.9513233951931853,0.9353458579636282,0.14770081238252947,562.849710982659,0.23267888868576847,1.916500971820656,0.02861666895872985,0.00017500000000000003,163.5238226213134,0.006115316924285635
0.0001,3,0.9427402862985685,0.9273125774489047,0.16219409543904315,560.5092024539878,0.3045931115921121,2.2023600620614303,0.03086340217019357,0.00017500000000000003,176.3622981153918,0.005670146117883493
0.0001,4,0.9451396307034946,0.9321610848265607,0.14890137744021836,564.6502365328857,0.24024696153355762,1.940867654376714,0.030568693207351873,0.00017500000000000003,174.67824689915352,0.0057248112901964665
0.0001,5,0.9444232384151462,0.9267245984629773,0.16417389810536998,564.9514466753187,0.2752232876373455,2.0839344342046413,0.031516679334403365,0.00017500000000000003,180.0953104823049,0.005552615430806867
0.0001,6,0.9628490116144912,0.9494079726643788,0.11592942072979116,569.2024459656949,0.21617496939143166,1.8693360927973677,0.031001888938065863,0.00017500000000000003,177.15365107466204,0.005644817331924739
0.0001,7,0.9502830044362858,0.9355694763848291,0.1435513113440647,566.0298301973382,0.298835802503163,2.2061082248112527,0.031028441249973244,0.00017500000000000003,177.30537857127564,0.005639986829829904
0.0001,8,0.9518501668183197,0.936381851892768,0.14359984321135388,561.1455868971792,0.23327615970629267,1.9250772379863745,0.031052284272110046,0.00017500000000000003,177.44162441205737,0.005635656252096668
0.0001,9,0.9492007377805103,0.9366717915397699,0.13759008016102625,568.7221026744544,0.22416737058665603,1.895088639810546,0.030787315866928986,0.00017500000000000003,175.92751923959418,0.005684159046420183
0.0001,10,0.9474762808349146,0.9369158767373424,0.13705505084446945,561.6982922201139,0.31677343731280416,2.2639949705335587,0.030099427646158396,0.00017500000000000003,171.99672940661938,0.005814064043252177
0.0001,11,0.9482745486402072,0.9339485853604919,0.14736464344934955,563.7485335567914,0.2499962297733873,1.993056534840788,0.030299754918602564,0.00017500000000000003,173.1414566777289,0.005775624273863635
0.0001,12,0.950300174785318,0.9352210622579433,0.1454291396202357,562.3800440762976,0.1956240697472822,1.7660376222983443,0.031182085205291907,0.00017500000000000003,178.18334403023945,0.005612196838276255
0.0001,13,0.9518308795771989,0.9371294653769031,0.14212259335494182,558.7349943374859,0.18908649461809546,1.7596462338819134,0.028817294911647175,0.00017500000000000003,164.67025663798384,0.006072742099372753
0.0001,14,0.9502724795640327,0.935157405063412,0.14606062741495368,560.1280653950954,0.21245989250019193,1.8492473258511384,0.030629883448222275,0.00017500000000000003,175.02790541841298,0.005713374662225717
0.0001,15,0.9490130325432513,0.9339212969728107,0.1478829189773865,564.0058684551483,0.2619973953696899,2.024575042502831,0.029973546666814663,0.00017500000000000003,171.27740952465518,0.0058384815766147555
